instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,depth,noOB,1,9,1.08067,7045,0.001862,0.954333,0.0577222,875,3,23,13.0776,290,32,116,0.0004711,0.0010309,1.04874,0.0001592,0.0191711,9.82e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,depth,coneOB,1,9,0.918867,5910,0.0022768,0.808256,0.047533,867,3,23,13.0069,395,15,24,0.0005631,0.0009298,0.886942,0.0001736,0.0181162,7.94e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,depth,fullOB,1,9,0.909214,5942,0.0056929,0.794494,0.0460974,911,3,23,12.955,434,15,18,0.0005116,0.0008467,0.874967,0.0010749,0.0181607,8.26e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,breadth,noOB,1,9,0.989402,6387,0.0022592,0.879612,0.0531849,731,3,21,11.6612,243,11,112,0.000235,0.0007157,0.960081,0.0001246,0.0171734,0.000114
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,breadth,coneOB,1,9,0.914639,5436,0.002245,0.809692,0.0486235,697,3,19,11.3639,289,5,55,0.0003011,0.0006604,0.885856,8.07e-05,0.0168089,0.0001258
Kirlik14-ILP_p-3_n-10_m-5_ins-2.dat,3,10,WLP,breadth,fullOB,1,9,0.852981,5361,0.0021644,0.75523,0.0446092,703,3,19,11.3511,298,5,53,0.0002687,0.0005852,0.825489,0.0002404,0.015213,0.0001334
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,depth,noOB,1,40,2.96717,21948,0.40493,2.37195,0.101257,1577,4,19,13.0659,512,88,189,0.0010419,0.0026652,2.94092,0.0002091,0.0055781,0.0001235
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,depth,coneOB,1,40,2.68219,18641,0.337203,2.16398,0.0924628,1493,4,19,12.9143,667,44,36,0.0018567,0.0022835,2.65132,0.0003218,0.008962,0.000122
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,depth,fullOB,1,40,2.37302,17739,0.30865,1.89664,0.0821802,1567,4,19,12.7184,760,44,27,0.0014984,0.0019395,2.34137,0.0025016,0.0077554,0.0001233
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,breadth,noOB,1,40,3.50441,23826,0.478424,2.80242,0.121511,1697,4,19,13.0506,551,72,226,0.0013039,0.0032628,3.47152,0.0002417,0.0067025,0.0002099
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,breadth,coneOB,1,40,2.85708,20890,0.356034,2.31196,0.0993627,1645,4,19,12.938,709,30,84,0.0018977,0.0021337,2.82818,0.0002519,0.0073016,0.0001784
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,LP,breadth,fullOB,1,40,2.7809,20845,0.35062,2.23829,0.0978276,1767,4,19,12.9731,821,29,80,0.0019205,0.0021216,2.74919,0.0011319,0.0073918,0.0002001
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,depth,noOB,1,40,1.83826,13160,0.0021298,1.61381,0.108812,1577,4,19,13.0659,512,88,189,0.0012706,0.0021474,1.77824,0.0001926,0.0361687,0.0001339
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,depth,coneOB,1,40,1.73906,11689,0.0021738,1.52276,0.0994115,1493,4,19,12.9143,667,44,36,0.0017998,0.0020621,1.67371,0.0003657,0.038671,0.0001336
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,depth,fullOB,1,40,1.66723,11290,0.0023165,1.45326,0.0948644,1567,4,19,12.7184,760,44,27,0.0017078,0.0018066,1.59908,0.0026187,0.0397737,0.0001334
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,breadth,noOB,1,40,2.04458,14341,0.0039921,1.78845,0.129624,1697,4,19,13.0506,551,72,226,0.0011729,0.0025228,1.97347,0.0002224,0.0438031,0.0002202
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,breadth,coneOB,1,40,1.95105,12904,0.0051517,1.69899,0.119175,1645,4,19,12.938,709,30,84,0.0021587,0.0020381,1.87716,0.0002405,0.0432931,0.0002502
Kirlik14-ILP_p-3_n-10_m-5_ins-3.dat,3,10,WLP,breadth,fullOB,1,40,1.94156,13129,0.0021616,1.68933,0.11784,1769,4,19,12.9764,823,29,80,0.0021447,0.0019417,1.86482,0.0011197,0.0446566,0.0002369
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,depth,noOB,1,110,6.50234,49667,0.863136,5.21753,0.225294,3423,3,22,14.6466,1022,280,410,0.005518,0.00891,6.44114,0.0004297,0.0124019,0.0002585
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,depth,coneOB,1,110,5.60102,41088,0.674999,4.52932,0.195664,3087,3,21,14.2578,1338,107,99,0.0074345,0.0065933,5.51533,0.0012654,0.0296019,0.0002948
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,depth,fullOB,1,110,5.3794,40920,0.662052,4.31779,0.185472,3461,3,21,14.1137,1672,106,86,0.0071594,0.0064176,5.28345,0.0104378,0.0314058,0.0002777
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,breadth,noOB,1,110,6.62869,48672,0.883134,5.33703,0.236236,3119,3,22,14.159,910,183,467,0.0039096,0.0075179,6.57221,0.0004122,0.0113733,0.000298
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,breadth,coneOB,1,110,5.80119,42301,0.638749,4.76601,0.210912,2933,3,21,13.8228,1228,60,179,0.0103643,0.0056905,5.72983,0.000772,0.0198933,0.0003546
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,LP,breadth,fullOB,1,110,5.8543,42521,0.675864,4.76693,0.206052,3229,3,21,13.8513,1471,62,195,0.0109846,0.0059912,5.77281,0.0040327,0.0220577,0.0004021
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,depth,noOB,1,110,4.11627,28383,0.0019283,3.60691,0.246214,3423,3,22,14.6466,1022,280,410,0.0088181,0.0074546,3.97454,0.0004194,0.0831259,0.0003239
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,depth,coneOB,1,110,3.68936,25447,0.0023536,3.21271,0.217322,3091,3,21,14.2652,1341,106,99,0.0079323,0.0055619,3.53188,0.0011961,0.0916382,0.0002817
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,depth,fullOB,1,110,3.73434,26002,0.0037795,3.23646,0.212151,3465,3,21,14.12,1675,105,86,0.0079384,0.0056156,3.55754,0.0106433,0.0988708,0.0003106
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,breadth,noOB,1,110,4.00994,27992,0.0023178,3.51826,0.255445,3119,3,22,14.159,910,183,467,0.0046385,0.0059825,3.8725,0.0003624,0.0827855,0.0004898
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,breadth,coneOB,1,110,3.77001,25933,0.0025184,3.28221,0.23522,2931,3,21,13.8206,1226,60,180,0.0113316,0.005078,3.6163,0.0008004,0.0883097,0.0004228
Kirlik14-ILP_p-3_n-10_m-5_ins-4.dat,3,10,WLP,breadth,fullOB,1,110,4.01479,26594,0.0043738,3.48052,0.24574,3231,3,21,13.8571,1473,62,194,0.0120115,0.0053829,3.8377,0.0041662,0.0986914,0.0006654
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,depth,noOB,1,64,2.65931,19419,0.318727,2.16569,0.0943339,1249,3,19,13.4608,411,95,119,0.0011274,0.0033223,2.63291,0.0001587,0.0048994,0.0001042
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,depth,coneOB,1,64,2.40275,16839,0.262287,1.97444,0.087156,1181,3,19,13.2893,535,24,32,0.0019427,0.0024185,2.37135,0.0003057,0.0082464,0.0001
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,depth,fullOB,1,64,2.51236,17796,0.286909,2.04943,0.0881177,1479,3,19,12.3223,770,21,28,0.0019877,0.0024037,2.47815,0.003016,0.0098882,0.0001211
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,breadth,noOB,1,64,3.03277,22526,0.353275,2.4883,0.108194,1445,3,19,13.3499,488,87,148,0.0010768,0.0035194,3.00668,0.0001633,0.0052362,0.0001358
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,breadth,coneOB,1,64,2.83919,20761,0.309918,2.33755,0.103473,1437,3,19,13.2281,629,19,71,0.0029133,0.0029618,2.80776,0.0002922,0.0082628,0.000144
